                     Strategy Average_Score
                       <char>         <num>
 1:               ZICHFORZACH        3435.2
 2:                  Hesitant        3432.6
 3:              TITfor1.5TAT        3402.0
 4:                  KINDNESS        3400.6
 5:                 TITFORTAT        3398.6
 6: SlowToAngerQuickToForgive        3395.2
 7:                WaitAndSee        3387.2
 8:                   VINCENT        3382.6
 9:                       GOB        3340.2
10:                      FRPM        3334.4
11:            AdaptiveGirlie        3276.0
12:                  FairPlay        3273.2
13:                Strategy29        3271.8
14:                    GameOn        3250.0
15:                  TripWire        3193.4
16:                  IMANSTER        3112.8
17:               FriendOrFoe        3106.2
18:                    SOLVER        3068.0
19:    ConditionalCooperation        3028.0
20:      ProgressiveAggressor        2842.6
21:             MEANTITFORTAT        2828.2
22:         TheCasualDefector        2697.8
23:                    RANDOM        2648.4
24:                 FRENEMIES        1937.2
